,name,description,tags,link
0,yolov3,"This repo contains Ultralytics inference and training code for YOLOv3 in PyTorch. The code works on Linux, MacOS and Windows. Credit to Joseph Redmon for YOLO https://pjreddie.com/darknet/yolo/.","['deep-learning', 'yolov3', 'object-detection', 'pytorch', 'training', 'training', 'yolo', 'augmentation', 'inference', 'darknet', 'onnx', 'coremlios']",https://github.com/ultralytics/yolov3
1,MMAL-Net,"This is a PyTorch implementation of the paper Multi-branch and Multi-scale Attention Learning for Fine-Grained Visual Categorization (MMAL-Net) (Fan Zhang, Meng Li, Guisheng Zhai, Yizhao Liu). Welcome to discuss with us in issues!","['fgvc-aircraft', 'fine-grained', 'cub-200-2011', 'stanford-cars', 'fine-grained-classification', 'weakly-supervised-localization']",https://github.com/ZF1044404254/MMAL-Net
2,DeLFT,"(Deep Learning Framework for Text) is a Keras and TensorFlow framework for text processing, focusing on sequence labelling (e.g. named entity tagging, information extraction) and text classification (e.g. comment classification). This library re-implements standard state-of-the-art Deep Learning architectures relevant to text processing tasks.","['deep-learning', 'nlp', 'keras', 'ner', 'text-classification', 'sequence-labeling']",https://github.com/kermitt2/delft
3,WattMeter-for-nvidia-GPU,A simple batch file that reads from nvidia-smi file and returns the current power draw of the GPU in Watts.,"['batch-script', 'wattmeter', 'nvidia-gpu', 'nvidia-gpus', 'nvidia-smi']",https://github.com/brizinger/WattMeter-for-nvidia-GPU
4,aistore,AIStore is a lightweight object storage system with the capability to linearly scale-out with each added storage node and a special focus on petascale deep learning.,"['scale-out', 'high-performance', 'commodity-hardware', 'erasure-coding', 'map-reduce', 'object-storage deep-learning']",https://github.com/NVIDIA/aistore
5,gdrcopy,A low-latency GPU memory copy library based on NVIDIA GPUDirect RDMA technology.,"['gpu-memory', 'nvidia', 'kernel-mode-driver', 'gpudirect-rdma', 'libraries', 'linux']",https://github.com/NVIDIA/gdrcopy
6,MinkowskiEngine,"The Minkowski Engine is an auto-differentiation library for sparse tensors. It supports all standard neural network layers such as convolution, pooling, unpooling, and broadcasting operations for sparse tensors. For more information, please visit the documentation page.","['neural-network', 'computer-vision', 'sparse-tensors', 'convolutional-neural-networks', 'semantic-segmentation', 'auto-differentiation', 'spatio-temporal-analysis', 'space-timedeep-learning', 'high-dimensional-data', 'high-dimensional-inference', 'trilateral-filter', '3d-vision', 'sparse-convolution', 'pytorch', 'minkowski-engine', 'cuda', 'sparse-tensor-network']",https://github.com/NVIDIA/MinkowskiEngine
7,hpc-container-maker,HPC Container Maker (HPCCM - pronounced H-P-see-M) is an open source tool to make it easier to generate container specification files.,"['docker', 'hpc', 'containers', 'singularity']",https://github.com/NVIDIA/hpc-container-maker
8,TensorRT,"This repository contains the Open Source Software (OSS) components of NVIDIA TensorRT. Included are the sources for TensorRT plugins and parsers (Caffe and ONNX), as well as sample applications demonstrating usage and capabilities of the TensorRT platform.","['tensorrt', 'nvidia', 'deep-learning']",https://github.com/NVIDIA/TensorRT
9,ngc-container-replicator,"Clones nvcr.io using the either DGX (compute.nvidia.com) or NGC (ngc.nvidia.com) API keys. The replicator will make an offline clone of the NGC/DGX container registry. In its current form, the replicator will download every CUDA container image as well as each Deep Learning framework image in the NVIDIA project.","['nvidia-docker', 'nvidia-gpus', 'containers', 'deep-learning']",https://github.com/NVIDIA/ngc-container-replicator
